id,48155,48011,48025,48195,48205,48415,48449,48461,48261,48343,48355,48377,48437,48447,48481,48493,48269,48333,48421,48267,48045,48057,48111,48307,48365,48041,48309,48001,48141,48187,48005,48047,48067,48079,48089,48113,48129,48227,48237,48257,48325,48397,48407,48427,48491,48497,48135,48213,48277,48299,48339,48387,48401,48459,48137,48235,48033,48035,48073,48167,48185,48191,48243,48245,48319,48341,48353,48411,48433,48445,48027,48055,48063,48075,48095,48107,48147,48171,48197,48199,48209,48217,48225,48233,48247,48279,48305,48323,48331,48373,48393,48395,48403,48417,48419,48465,48471,48489,48505,48015,48087,48139,48159,48175,48183,48375,48485,48009,48017,48083,48101,48119,48193,48301,48389,48413,48003,48013,48037,48043,48053,48059,48065,48077,48097,48105,48109,48115,48125,48127,48169,48173,48201,48207,48223,48249,48255,48265,48273,48281,48285,48293,48321,48345,48363,48367,48369,48391,48405,48425,48435,48439,48441,48451,48463,48479,48483,48495,48501,48507,48007,48153,48181,48259,48289,48431,48443,48071,48085,48163,48179,48215,48221,48231,48275,48297,48315,48327,48329,48347,48361,48381,48383,48399,48429,48453,48499,48019,48061,48069,48091,48121,48133,48189,48203,48229,48241,48287,48295,48337,48351,48359,48457,48475,48021,48031,48051,48143,48151,48165,48211,48317,48385,48469,48477,48029,48039,48049,48081,48099,48131,48149,48219,48239,48251,48271,48283,48311,48313,48335,48357,48409,48423,48455,48117,48161,48177,48467,48473,48023,48093,48103,48123,48253,48263,48349,48371,48379,48487,48145,48157,48291,48303,48503
income,1336,1901,31861,5613,6062,16921,32334,3355,416,12934,340223,7818,7854,1641,41280,42918,286,4936,3034,4607,1637,21381,6703,8283,23796,194851,234906,58458,800647,131533,86771,7223,30464,3127,20874,2368139,3677,35012,9044,103350,46006,78337,26384,60968,422679,59127,137130,78532,49793,19301,455746,12860,53330,39309,2002,1599,641,18212,50845,291309,26604,3353,2342,252273,4012,21904,15216,6131,1490,12651,310235,38066,12401,7041,4087,6059,33915,24837,4139,54635,157107,35089,23732,22150,5300,13977,5915,54258,24757,45413,929,16622,10834,3378,25448,48879,67861,22134,14018,28417,3057,149610,10605,7210,121730,121073,131500,9054,7165,8895,1505,5231,8517,82,13783,3461,14786,44911,92565,9232,42750,13544,6182,10752,38437,3719,2398,13833,2444,9996,6461,1226,4092459,5899,35161,40838,14824,49625,32061,19677,19263,23384,36702,1210,28111,116927,10269,7383,8865,8490,4128,1809034,131506,110224,26405,250304,5410,7110,7879,11677,23158,6446,120877,33410,16801,1143,984,35096,782341,17217,22535,774769,51182,86129,3719,11531,10546,2242,136872,64524,81837,120725,3367,10501,9630,1024266,41964,20485,406220,8062,108472,662614,18583,36273,65631,3476,35710,16612,3302,19719,14445,2052,21766,10658,74171,10497,17187,37890,3974,17526,3807,4799,3309,86793,33718,1714773,313166,38106,3320,75388,11782,24554,22935,14075,150934,3598,6886,707,13664,9403,10223,64804,209714,14585,19372,19816,19807,52579,43205,3726,13974,4375,20097,20202,808,47735,15507,10914,13535,17866,585375,75643,278831,18550
